Name,GK,CB,CM,ST,RW,LB
H. Sendiero,10.0,65.0,55.0,54.0,57.0,65.0
K. Staude,9.2,49.0,60.0,60.0,66.0,55.0
A. Tahar,9.2,64.0,65.0,65.0,65.0,65.0
A. Bourceanu,12.2,67.0,65.0,63.0,63.0,66.0
M. Bouziane,9.6,39.0,55.0,64.0,66.0,45.0
M. Hairston,13.6,59.0,62.0,63.0,65.0,64.0
R. Harakawa,8.2,55.0,65.0,61.0,66.0,61.0
A. Guðmundsson,6.8,45.0,61.0,60.0,65.0,51.0
G. Waldschmidt,11.2,34.0,55.0,65.0,63.0,41.0
A. Sedlar,10.4,65.0,49.0,41.0,40.0,60.0
Jeong Hyuk,10.8,61.0,65.0,59.0,63.0,62.0
Antonio Martínez,11.2,64.0,60.0,52.0,57.0,61.0
O. Benítez,13.2,65.0,42.0,43.0,35.0,57.0
C. Dean,11.4,65.0,48.0,41.0,41.0,55.0
T. Hamed,13.6,66.0,65.0,62.0,63.0,65.0
D. Fox,10.8,65.0,65.0,56.0,61.0,65.0
J. Mæhle,10.0,63.0,56.0,60.0,62.0,65.0
K. Tokura,12.6,39.0,51.0,65.0,59.0,40.0
S. Alami,8.4,45.0,61.0,60.0,64.0,51.0
P. Hanlon,10.2,65.0,52.0,46.0,49.0,65.0
H. Dahmani,12.2,48.0,57.0,65.0,63.0,52.0
T. Umesaki,10.6,46.0,63.0,62.0,65.0,52.0
F. Knudsen,10.0,65.0,46.0,41.0,39.0,58.0
N. Thompson,11.2,65.0,56.0,51.0,55.0,63.0
I. Salah,11.0,67.0,61.0,59.0,57.0,65.0
J. Zuluaga,10.8,61.0,56.0,48.0,54.0,65.0
A. Boljević,10.2,37.0,58.0,59.0,65.0,46.0
S. Moore,11.4,62.0,59.0,59.0,61.0,65.0
J. Elliott,9.2,65.0,52.0,42.0,41.0,59.0
M. Ranégie,3.0,45.0,58.0,65.0,59.0,43.0
C. Klem,13.2,58.0,59.0,54.0,61.0,65.0
A. Martin,8.6,65.0,46.0,46.0,39.0,57.0
D. Miloc,11.4,62.0,65.0,55.0,60.0,64.0
J. Nadeau,12.2,65.0,48.0,44.0,44.0,59.0
J. Cano,13.6,63.0,56.0,48.0,56.0,65.0
N. Adams,7.6,45.0,60.0,58.0,64.0,52.0
A. Sigurðarson,10.8,42.0,59.0,62.0,66.0,50.0
L. Van Eenoo,10.2,53.0,65.0,61.0,64.0,58.0
M. Donati,9.0,65.0,63.0,59.0,58.0,60.0
R. Kazior,10.8,46.0,61.0,66.0,65.0,49.0
A. Cherevko,12.2,59.0,60.0,59.0,63.0,65.0
L. Carteldo,13.8,64.0,61.0,56.0,58.0,65.0
L. James,10.6,57.0,65.0,58.0,61.0,59.0
Ricardo Santos,11.6,48.0,54.0,65.0,58.0,46.0
J. Placide,63.4,,,,,
Y. Thuram,65.4,,,,,
C. Edwards,12.4,57.0,65.0,63.0,65.0,61.0
J. Willis,9.4,65.0,49.0,48.0,49.0,62.0
A. Bell,10.8,61.0,56.0,52.0,59.0,64.0
C. Lema,9.8,65.0,44.0,45.0,36.0,53.0
D. Crowley,10.6,46.0,61.0,59.0,65.0,52.0
Y. Mutō,10.4,43.0,62.0,65.0,66.0,49.0
O. Vera,9.6,59.0,62.0,60.0,65.0,64.0
L. Hufnagel,11.4,53.0,62.0,60.0,65.0,58.0
M. Zappino,64.0,,,,,
R. Lentini,11.2,43.0,59.0,65.0,65.0,48.0
N. Lomb,66.0,,,,,
J. McLaughlin,66.0,,,,,
S. Ernemann,10.0,61.0,65.0,62.0,63.0,63.0
M. Lundemo,8.6,58.0,65.0,61.0,62.0,60.0
B. Konaté,10.0,66.0,65.0,56.0,59.0,65.0
C. McCann,11.4,66.0,65.0,63.0,63.0,64.0
F. Neuhaus,10.6,44.0,62.0,59.0,63.0,51.0
R. Norodien,11.4,32.0,57.0,57.0,65.0,44.0
A. Crognale,9.8,65.0,51.0,47.0,44.0,58.0
O. Bozanic,10.0,57.0,65.0,65.0,67.0,62.0
A. Blanco,64.4,,,,,
Kwak Kwang Sun,12.0,65.0,57.0,56.0,55.0,60.0
M. Pfitzner,11.0,65.0,63.0,61.0,61.0,64.0
R. Fiamozzi,12.6,62.0,62.0,57.0,62.0,66.0
L. Lezzerini,64.2,,,,,
R. Vloet,12.0,51.0,63.0,65.0,63.0,51.0
I. Depe,11.4,39.0,58.0,56.0,64.0,48.0
J. Elías,10.0,63.0,62.0,53.0,57.0,63.0
M. Sáček,11.4,61.0,65.0,57.0,62.0,64.0
Zhao Mingjian,10.6,63.0,64.0,57.0,63.0,65.0
A. Osman,10.2,67.0,58.0,51.0,54.0,65.0
D. Wotherspoon,10.6,61.0,63.0,61.0,64.0,63.0
F. Boli,12.2,38.0,51.0,65.0,61.0,40.0
J. McGinn,11.2,64.0,65.0,64.0,66.0,63.0
B. Traoré,10.4,65.0,51.0,46.0,50.0,65.0
T. Høgli,9.6,67.0,58.0,52.0,54.0,65.0
R. Mulumba,12.2,62.0,65.0,61.0,63.0,63.0
M. Høibråten,9.8,65.0,53.0,47.0,49.0,62.0
M. Domínguez,11.2,45.0,60.0,60.0,64.0,53.0
K. Nolan,12.0,67.0,65.0,70.0,65.0,59.0
J. Magennis,11.8,60.0,59.0,65.0,63.0,60.0
W. Owusu,13.4,50.0,61.0,65.0,63.0,51.0
Z. Ismail,11.8,35.0,56.0,56.0,65.0,45.0
A. Al Salem,13.0,59.0,64.0,64.0,63.0,58.0
L. Guwara,10.8,65.0,57.0,52.0,57.0,65.0
M. Musaka,8.8,59.0,65.0,61.0,64.0,62.0
M. Sarr,10.0,65.0,53.0,47.0,44.0,56.0
C. Monschein,11.2,33.0,51.0,65.0,62.0,38.0
A. Harris,10.0,69.0,62.0,65.0,63.0,65.0
L. Crecco,10.2,61.0,65.0,63.0,65.0,64.0
D. Charles,10.2,65.0,57.0,61.0,57.0,59.0
R. Riski,11.6,51.0,61.0,64.0,66.0,56.0
D. Batubinsika,12.0,65.0,49.0,45.0,43.0,59.0
J. Mansilla,10.6,56.0,65.0,65.0,68.0,59.0
B. Parlak,11.8,65.0,53.0,53.0,49.0,59.0
O. Rodríguez,11.8,63.0,60.0,56.0,61.0,65.0
Pedrinho,12.8,65.0,60.0,54.0,57.0,65.0
J. Enríquez,11.4,68.0,62.0,60.0,57.0,63.0
Park Jin Po,11.4,65.0,60.0,62.0,64.0,65.0
E. Alushi,10.6,62.0,65.0,59.0,61.0,59.0
P. Lezceno,10.2,65.0,56.0,57.0,52.0,59.0
R. Feczesin,8.6,49.0,58.0,65.0,64.0,51.0
César Ortiz,10.8,65.0,49.0,38.0,38.0,58.0
A. Doffo,14.2,37.0,60.0,58.0,65.0,46.0
M. Stevanović,9.2,67.0,51.0,49.0,50.0,65.0
O. Azubuike,8.8,63.0,61.0,49.0,53.0,63.0
Leandrinho,8.6,38.0,57.0,64.0,66.0,46.0
J. Obika,12.0,44.0,49.0,65.0,58.0,43.0
J. Amoah,10.6,56.0,65.0,59.0,65.0,58.0
B. Carroll,11.0,64.0,62.0,55.0,57.0,62.0
A. Russo,10.0,65.0,45.0,40.0,37.0,59.0
A. Busteño,9.8,69.0,52.0,46.0,45.0,65.0
H. Otani,8.4,61.0,61.0,47.0,51.0,61.0
R. Şimşek,10.2,59.0,60.0,51.0,60.0,65.0
J. Nilsen,9.2,64.0,63.0,61.0,63.0,65.0
Kim Dong Woo,13.2,65.0,51.0,47.0,48.0,60.0
L. Miranda,11.8,58.0,65.0,63.0,66.0,63.0
A. Imperiale,9.6,65.0,46.0,42.0,42.0,60.0
Rafa Mir,10.8,46.0,53.0,65.0,61.0,49.0
A. Barada,10.4,61.0,65.0,57.0,58.0,63.0
O. Sissoko,65.0,,,,,
C. Lykogiannis,10.4,63.0,64.0,65.0,64.0,65.0
S. Hertner,10.2,64.0,59.0,54.0,59.0,65.0
A. Þrándarson,11.4,58.0,62.0,64.0,64.0,60.0
C. Warner,10.2,64.0,64.0,63.0,62.0,62.0
T. Guerbert,12.0,55.0,64.0,63.0,65.0,60.0
J. McCarthy,10.2,65.0,61.0,58.0,59.0,65.0
J. Wright,7.8,65.0,52.0,46.0,46.0,62.0
J. Adelalla,10.4,62.0,65.0,62.0,65.0,64.0
M. Mustacchio,17.0,45.0,58.0,64.0,66.0,53.0
T. Vion,10.6,41.0,53.0,65.0,59.0,40.0
L. Sekulski,11.0,41.0,49.0,65.0,60.0,43.0
J. Calesti,12.0,53.0,62.0,63.0,65.0,57.0
M. Guevgeozián,9.4,36.0,49.0,65.0,57.0,36.0
G. Viscarra,67.2,,,,,
J. Dem,10.2,68.0,56.0,53.0,52.0,64.0
I. Lapshov,8.0,65.0,58.0,52.0,54.0,65.0
B. Mason,9.4,60.0,60.0,54.0,62.0,65.0
P. Türpitz,10.4,43.0,59.0,61.0,65.0,51.0
A. Ateef,10.2,62.0,67.0,65.0,66.0,61.0
T. Çamdal,14.4,61.0,64.0,61.0,67.0,65.0
G. Halford,13.4,66.0,60.0,61.0,58.0,64.0
Eddy,10.6,65.0,65.0,62.0,63.0,63.0
B. Ould-Chikh,8.8,36.0,59.0,65.0,70.0,45.0
Pedro Monteiro,9.8,65.0,44.0,42.0,36.0,55.0
R. Schiavi,12.0,65.0,43.0,42.0,39.0,58.0
F. Ondoa,65.0,,,,,
D. Sallói,8.0,40.0,57.0,65.0,64.0,45.0
K. Yamamura,8.0,65.0,67.0,66.0,65.0,65.0
B. Jayiya,10.4,45.0,59.0,67.0,66.0,50.0
J. Huyghebaert,12.0,64.0,59.0,52.0,56.0,65.0
E. Bush,,,,,,
N. De Schutter,10.4,67.0,60.0,51.0,55.0,65.0
C. Flórez,11.0,64.0,57.0,53.0,54.0,65.0
B. Youssouf,11.2,63.0,56.0,50.0,55.0,65.0
T. Ebuehi,13.0,63.0,55.0,55.0,58.0,65.0
C. Özdemir,10.8,47.0,62.0,62.0,65.0,53.0
C. Knasmüllner,9.2,41.0,62.0,59.0,63.0,48.0
A. Hadouir,10.2,38.0,59.0,60.0,65.0,42.0
M. Al Fatil,11.2,65.0,47.0,42.0,39.0,59.0
O. Ejaria,11.8,53.0,63.0,63.0,64.0,56.0
J. Acquistapace,10.2,65.0,47.0,44.0,42.0,62.0
G. Long,66.0,,,,,
J. Grimmer,10.6,61.0,58.0,57.0,59.0,65.0
J. Bandowski,11.2,63.0,59.0,62.0,62.0,65.0
M. Pennington,10.8,65.0,50.0,48.0,49.0,63.0
N. Ferreira,10.0,53.0,61.0,63.0,65.0,56.0
D. Stahl,8.8,68.0,60.0,63.0,57.0,64.0
F. Koch,11.0,60.0,58.0,57.0,62.0,65.0
R. McLaughlin,11.2,61.0,61.0,59.0,64.0,64.0
R. Saravia,13.4,64.0,51.0,46.0,52.0,65.0
M. Goblet,63.2,,,,,
Alain Oyarzun,12.2,47.0,60.0,61.0,67.0,52.0
D. Claasen,14.2,60.0,62.0,59.0,63.0,64.0
J. Jeggo,12.0,61.0,65.0,60.0,63.0,63.0
M. Restrepo,8.6,64.0,64.0,56.0,61.0,62.0
R. Gartler,11.2,44.0,55.0,65.0,62.0,44.0
R. Cierzniak,65.2,,,,,
Pité,9.2,66.0,65.0,59.0,62.0,65.0
L. Gugganig,12.8,65.0,56.0,56.0,50.0,62.0
A. Hayashi,65.6,,,,,
A. Donnarumma,63.2,,,,,
K. Bakırcıoğlu,9.2,43.0,65.0,63.0,66.0,48.0
C. Eiting,8.8,61.0,64.0,55.0,60.0,63.0
M. Çelik,10.8,37.0,57.0,67.0,67.0,44.0
A. Gomis,11.4,38.0,47.0,65.0,61.0,42.0
A. Juel Andersen,11.4,65.0,59.0,58.0,61.0,66.0
L. Quintana,11.4,65.0,51.0,50.0,49.0,61.0
Moi Delgado,9.6,63.0,57.0,51.0,55.0,65.0
A. Sebrino,11.6,52.0,56.0,65.0,62.0,53.0
Victor Massaia,10.4,65.0,43.0,43.0,39.0,57.0
M. Dembélé,10.2,33.0,54.0,65.0,65.0,42.0
H. Hansson,10.4,48.0,63.0,62.0,64.0,54.0
M. Appiah,10.8,65.0,51.0,49.0,51.0,65.0
Sin Se Gye,10.4,64.0,62.0,60.0,63.0,65.0
J. Giraudon,8.4,65.0,55.0,50.0,50.0,62.0
K. Opare,11.8,65.0,51.0,50.0,49.0,60.0
H. Cummings,12.2,65.0,52.0,47.0,47.0,58.0
H. Yılmaz,64.0,,,,,
C. O'Grady,8.4,46.0,56.0,65.0,59.0,44.0
T. Kløve,13.2,50.0,63.0,60.0,65.0,57.0
João Silva,10.0,39.0,49.0,65.0,58.0,39.0
F. Alashe,13.0,67.0,61.0,57.0,57.0,64.0
S. Bakış,9.8,44.0,55.0,65.0,58.0,42.0
N. Solís,10.8,35.0,55.0,62.0,66.0,46.0
J. Shaughnessy,12.2,65.0,53.0,43.0,50.0,63.0
D. Petratos,10.4,51.0,63.0,63.0,66.0,57.0
M. Boman,10.4,49.0,57.0,65.0,59.0,46.0
D. Dervite,9.2,65.0,52.0,47.0,44.0,59.0
I. Furios,10.4,65.0,47.0,46.0,42.0,55.0
A. Ricaurte,11.0,49.0,63.0,60.0,65.0,55.0
R. Lindkvist,13.4,59.0,61.0,62.0,66.0,65.0
S. Davis,9.4,62.0,65.0,61.0,63.0,63.0
João Góis,9.6,65.0,54.0,54.0,56.0,65.0
Raí,10.2,35.0,56.0,65.0,65.0,41.0
D. Rowe,1.0,40.0,57.0,60.0,65.0,49.0
T. Flanagan,10.0,65.0,48.0,42.0,44.0,60.0
Diego Maurício,10.4,45.0,60.0,65.0,64.0,46.0
I. Kireev,12.0,61.0,63.0,60.0,64.0,64.0
L. Thompson,8.6,63.0,65.0,58.0,62.0,64.0
L. Mulholland,10.6,65.0,65.0,64.0,64.0,65.0
Hildeberto Pereira,12.2,66.0,64.0,67.0,67.0,65.0
P. Hoffmann,10.8,44.0,58.0,65.0,65.0,50.0
E. Butin,10.2,41.0,58.0,65.0,64.0,45.0
A. O'Brien,11.0,44.0,59.0,64.0,65.0,48.0
J. Holt,11.6,58.0,65.0,60.0,64.0,62.0
I. Runje,11.0,65.0,50.0,43.0,40.0,58.0
M. Al Harbi,10.6,62.0,60.0,55.0,60.0,65.0
W. Pacheco,10.2,59.0,54.0,52.0,59.0,65.0
N. Birones,9.6,65.0,64.0,63.0,60.0,62.0
L. Damour,11.4,63.0,63.0,61.0,63.0,65.0
T. Schrammel,9.8,64.0,62.0,60.0,63.0,65.0
P. Pervan,66.4,,,,,
S. Bradley,11.0,65.0,52.0,50.0,48.0,59.0
M. Jeannin,65.2,,,,,
T. Kemp,11.0,63.0,64.0,59.0,60.0,65.0
David Raya,64.8,,,,,
M. de Jong,9.0,66.0,62.0,60.0,61.0,65.0
N. Boogaard,9.6,65.0,50.0,40.0,37.0,54.0
S. Gündüz,13.8,54.0,61.0,62.0,65.0,58.0
A. Uryga,12.0,65.0,57.0,54.0,52.0,60.0
J. Coppinger,12.8,50.0,64.0,62.0,64.0,54.0
Kim Gun Hee,8.2,48.0,58.0,65.0,64.0,50.0
A. Nordin,11.2,39.0,58.0,63.0,66.0,46.0
J. Willis,65.2,,,,,
F. Heerkens,13.0,67.0,55.0,47.0,50.0,65.0
I. Jarano,14.2,50.0,63.0,64.0,64.0,53.0
F. Azemi,10.0,52.0,58.0,65.0,64.0,55.0
M. McGlinchey,10.0,50.0,63.0,63.0,66.0,57.0
Z. Ljubijankič,10.4,56.0,63.0,65.0,65.0,57.0
J. Martínez,12.4,63.0,63.0,60.0,64.0,65.0
Fernando,63.8,,,,,
Kim Dae Ho,12.4,65.0,62.0,58.0,63.0,65.0
K. Risgård,11.4,59.0,65.0,65.0,64.0,59.0
F. Cardozo,10.0,65.0,49.0,48.0,48.0,62.0
D. Londoño,12.2,65.0,58.0,52.0,58.0,65.0
N. Trujic,10.2,35.0,52.0,65.0,63.0,42.0
F. Cuvelier,10.2,57.0,65.0,63.0,66.0,60.0
Gerson,12.6,65.0,57.0,52.0,51.0,60.0
N. Avellaneda,65.0,,,,,
Y. Boé-Kane,9.0,66.0,59.0,53.0,54.0,65.0
V. Rosier,10.0,64.0,56.0,52.0,57.0,65.0
Borja Herrera,9.2,61.0,61.0,61.0,65.0,65.0
Paolo Fernandes,11.8,42.0,59.0,61.0,67.0,50.0
T. Nakamura,12.2,63.0,56.0,48.0,54.0,65.0
M. Gardyne,8.0,50.0,59.0,60.0,65.0,56.0
A. Wildig,11.4,49.0,62.0,60.0,65.0,55.0
C. Pérez,10.2,65.0,55.0,55.0,51.0,59.0
D. Mignanelli,9.2,58.0,58.0,54.0,59.0,65.0
O. Haddadi,9.8,67.0,58.0,53.0,56.0,65.0
C. Davies,10.6,44.0,55.0,65.0,63.0,47.0
J. Forster-Caskey,10.4,56.0,65.0,62.0,65.0,60.0
U. Zeybek,10.0,49.0,65.0,63.0,68.0,54.0
Tropi,10.0,63.0,62.0,54.0,56.0,63.0
E. Mbende,7.4,65.0,47.0,47.0,41.0,56.0
K. Kawamata,10.2,46.0,54.0,65.0,60.0,44.0
Abel Gómez,11.2,59.0,68.0,61.0,61.0,56.0
L. Holmes,10.0,41.0,59.0,58.0,65.0,49.0
F. Helstrup,11.2,65.0,49.0,45.0,45.0,60.0
L. Mosquera,12.8,63.0,64.0,63.0,64.0,66.0
S. Scougall,9.6,51.0,65.0,62.0,67.0,57.0
M. Jiménez,13.4,65.0,61.0,55.0,56.0,60.0
Luisinho,10.6,36.0,58.0,65.0,66.0,41.0
H. Koffi,64.6,,,,,
D. Post,13.0,63.0,64.0,61.0,61.0,63.0
T. Gabuza,11.4,47.0,52.0,65.0,62.0,46.0
T. Albutat,8.4,65.0,62.0,59.0,58.0,63.0
T. Ephestion,9.2,61.0,65.0,62.0,64.0,61.0
M. Thiel,11.2,42.0,60.0,65.0,66.0,48.0
H. Hauger,12.6,63.0,62.0,53.0,55.0,60.0
Kim Chang Soo,8.6,64.0,64.0,62.0,63.0,65.0
M. Rosales,9.8,49.0,62.0,61.0,64.0,51.0
B. Kuipers,12.4,65.0,59.0,53.0,57.0,65.0
K. Nagasawa,7.4,32.0,60.0,57.0,64.0,43.0
S. Abdul-Salaam,10.0,66.0,56.0,51.0,55.0,65.0
S. Cummings,9.4,64.0,59.0,57.0,61.0,65.0
Brahim Díaz,10.2,33.0,57.0,61.0,65.0,43.0
K. Taketomi,10.0,48.0,63.0,67.0,66.0,50.0
Cleylton Santos,8.4,65.0,43.0,42.0,38.0,55.0
D. Jaković,9.4,65.0,51.0,47.0,42.0,56.0
A. Chicksen,11.4,62.0,60.0,58.0,61.0,65.0
N. Miatke,11.6,62.0,58.0,57.0,61.0,65.0
B. Dabanli,7.4,65.0,57.0,48.0,46.0,58.0
M. Fortuné,10.6,44.0,58.0,65.0,63.0,45.0
D. Dražić,9.2,45.0,60.0,60.0,66.0,50.0
M. El Hankouri,10.0,45.0,61.0,59.0,66.0,53.0
R. Koch,8.8,65.0,54.0,49.0,48.0,61.0
K. Madsen,11.4,65.0,55.0,49.0,47.0,61.0
R. Cornthwaite,11.4,65.0,48.0,49.0,39.0,57.0
M. O'Connor,10.4,62.0,65.0,63.0,63.0,62.0
P. Kammerbauer,8.0,62.0,63.0,59.0,65.0,65.0
A. Fadlalla,9.0,65.0,62.0,63.0,62.0,65.0
J. Valdez Chamorro,13.0,60.0,65.0,63.0,65.0,63.0
A. Ligi,9.8,65.0,44.0,40.0,40.0,59.0
S. Ringstad,10.8,64.0,62.0,62.0,64.0,65.0
S. Sukharev,9.2,65.0,57.0,53.0,54.0,63.0
J. Pardaneos,15.0,52.0,63.0,60.0,65.0,57.0
M. Könnecke,10.4,40.0,60.0,63.0,67.0,50.0
D. Henry,10.8,65.0,51.0,51.0,48.0,58.0
Y. Baraye,9.2,51.0,63.0,62.0,66.0,58.0
Sergi Guardiola,11.6,42.0,54.0,65.0,61.0,41.0
S. Şahin-Radlinger,63.8,,,,,
D. Lopar,64.2,,,,,
N. Ansell,11.4,65.0,50.0,43.0,41.0,59.0
J. Bègue,10.2,37.0,58.0,65.0,66.0,44.0
L. Geminiani,12.2,63.0,56.0,52.0,59.0,65.0
Pedro Pinto,11.4,65.0,48.0,48.0,48.0,61.0
A. Nordvik,9.6,65.0,56.0,55.0,55.0,64.0
F. Coppola,65.2,,,,,
V. Agardius,10.2,63.0,57.0,52.0,56.0,65.0
A. Tamèze,14.4,65.0,61.0,54.0,55.0,63.0
G. Venegas,11.4,65.0,57.0,56.0,53.0,60.0
B. Riise,9.6,65.0,65.0,64.0,64.0,63.0
K. Vermeulen,11.6,61.0,64.0,65.0,62.0,59.0
R. Cisneros,13.0,40.0,55.0,65.0,62.0,43.0
Benito,10.8,39.0,60.0,61.0,64.0,48.0
Ko Moo Yeol,11.0,41.0,59.0,65.0,66.0,46.0
D. Remick,11.2,62.0,57.0,54.0,58.0,65.0
Jallyson Neto,10.6,65.0,62.0,58.0,57.0,65.0
T. Socha,12.6,68.0,56.0,54.0,56.0,65.0
G. Beretta,11.8,39.0,54.0,65.0,61.0,43.0
Rochinha,12.8,37.0,60.0,61.0,66.0,47.0
M. Rosheuvel,12.6,41.0,58.0,62.0,66.0,49.0
S. Saad,12.0,38.0,59.0,65.0,66.0,46.0
T. Danneberg,11.8,65.0,63.0,60.0,59.0,62.0
H. Mojica,13.2,39.0,60.0,60.0,65.0,48.0
P. Robinson,10.0,64.0,53.0,48.0,43.0,57.0
C. Martins Pereira,9.0,64.0,61.0,59.0,58.0,63.0
O. Bogle,10.8,43.0,54.0,64.0,61.0,44.0
G. Hendrickx,11.4,58.0,64.0,59.0,62.0,62.0
Ko Tae Won,9.8,64.0,47.0,44.0,41.0,59.0
Carbonell,9.6,54.0,64.0,63.0,67.0,58.0
S. Konde,11.0,64.0,50.0,47.0,46.0,61.0
A. Fernández,9.2,55.0,64.0,64.0,65.0,59.0
C. Hussey,9.6,60.0,59.0,51.0,58.0,64.0
J. Chunga,65.0,,,,,
M. Perez,8.4,56.0,64.0,60.0,63.0,59.0
Y. Meité,9.4,43.0,52.0,63.0,65.0,47.0
C. Früchtl,66.2,,,,,
Francis,10.4,34.0,55.0,57.0,64.0,45.0
D. Giorico,9.6,58.0,64.0,56.0,61.0,61.0
W. Creavalle,11.0,65.0,61.0,60.0,61.0,64.0
D. Giraldo,12.8,62.0,62.0,55.0,58.0,61.0
A. Considine,11.2,68.0,54.0,45.0,48.0,64.0
T. Kanamori,10.6,41.0,55.0,64.0,66.0,48.0
E. Chirambadare,11.0,37.0,56.0,57.0,64.0,46.0
Bebeto,10.4,60.0,57.0,56.0,60.0,64.0
C. Menz,12.0,64.0,59.0,51.0,56.0,64.0
O. Gaona Lugo,9.2,43.0,57.0,63.0,65.0,50.0
H. Zeinstra,64.0,,,,,
I. Toney,9.4,52.0,53.0,64.0,60.0,53.0
No Dong Geon,64.8,,,,,
N. Topor-Stanley,12.2,64.0,55.0,47.0,44.0,58.0
P. Rojas,9.0,38.0,54.0,62.0,65.0,48.0
G. Saunders,9.2,60.0,63.0,51.0,56.0,60.0
Palatsí,64.2,,,,,
H. Toffolo,13.6,62.0,60.0,57.0,61.0,64.0
A. Tapia,9.6,61.0,63.0,63.0,64.0,63.0
C. Colkett,9.4,59.0,64.0,57.0,61.0,59.0
Y. Hiraoka,11.8,64.0,47.0,40.0,40.0,60.0
M. Zajc,9.8,50.0,61.0,59.0,62.0,52.0
K. Enghardt,10.2,64.0,56.0,51.0,52.0,62.0
T. Pope,13.6,49.0,58.0,64.0,58.0,46.0
O. Custodio,10.0,60.0,64.0,55.0,59.0,62.0
P. Strand,10.0,60.0,64.0,63.0,66.0,66.0
B. Cascini,10.0,61.0,64.0,59.0,62.0,64.0
J. Naismith,7.8,65.0,58.0,58.0,58.0,64.0
M. Pazurek,9.6,66.0,58.0,55.0,53.0,63.0
K. Dempsey,10.8,49.0,64.0,62.0,66.0,53.0
L. Nilsson,11.6,42.0,59.0,64.0,65.0,48.0
C. Sloth,11.4,54.0,64.0,61.0,63.0,56.0
Diney,11.4,64.0,43.0,43.0,38.0,55.0
Suh Myeong Won,11.2,34.0,57.0,62.0,65.0,43.0
Kainho Selva,10.0,68.0,53.0,50.0,53.0,64.0
W. Moke,11.6,65.0,55.0,48.0,50.0,64.0
R. Foster,10.4,62.0,54.0,46.0,52.0,64.0
M. Asenjo,9.0,40.0,49.0,64.0,57.0,38.0
E. Bugge Pettersen,62.6,,,,,
A. Oueslati,9.0,63.0,65.0,61.0,65.0,66.0
C. Amaya,10.0,38.0,51.0,64.0,62.0,43.0
M. Schulz,12.6,64.0,57.0,53.0,54.0,61.0
P. Jaroszyński,11.0,65.0,55.0,52.0,53.0,64.0
A. Baluta,8.0,53.0,59.0,60.0,63.0,56.0
V. Jugović,11.2,62.0,64.0,64.0,66.0,63.0
Lucas Possignolo,10.6,64.0,48.0,40.0,41.0,60.0
B. Tiru,10.0,64.0,43.0,40.0,37.0,58.0
Carles Pérez,9.6,41.0,57.0,65.0,65.0,48.0
L. Leahy,11.2,61.0,61.0,61.0,62.0,64.0
D. Vrzogic,9.4,61.0,60.0,56.0,60.0,64.0
S. Francis,8.0,63.0,55.0,53.0,57.0,64.0
D. Pedersen,11.6,64.0,59.0,55.0,57.0,63.0
M. Ihiekwe,10.2,64.0,45.0,45.0,44.0,59.0
R. Burke,9.4,64.0,50.0,46.0,46.0,61.0
A. Rodríguez,13.4,44.0,58.0,64.0,67.0,51.0
S. Mauk,10.8,56.0,63.0,63.0,64.0,59.0
Óscar Whalley,66.4,,,,,
D. Lovitz,12.0,63.0,59.0,58.0,61.0,64.0
José Kanté,11.4,38.0,60.0,64.0,65.0,44.0
M. Solheim,9.6,64.0,59.0,56.0,56.0,64.0
R. Andrich,10.8,61.0,64.0,59.0,62.0,63.0
Henrique Jardinel,16.0,59.0,64.0,54.0,59.0,59.0
M. Richards,11.4,41.0,54.0,64.0,59.0,41.0
M. Sansores,11.8,44.0,54.0,64.0,61.0,48.0
V. Ranković,12.8,58.0,58.0,50.0,60.0,64.0
J. Martínez,64.0,,,,,
B. Gimber,11.6,64.0,48.0,44.0,44.0,58.0
I. Faye,8.2,41.0,53.0,65.0,66.0,49.0
A. Nef,11.0,64.0,42.0,41.0,34.0,52.0
S. Tritz,8.4,62.0,49.0,44.0,49.0,64.0
B. Inman,10.8,47.0,59.0,61.0,64.0,55.0
J. Kiesewetter,10.0,40.0,57.0,62.0,65.0,47.0
C. Lenz,10.8,61.0,54.0,50.0,55.0,64.0
S. Sawadogo,10.4,30.0,48.0,62.0,65.0,39.0
E. Zverotić,12.2,64.0,62.0,59.0,61.0,67.0
A. Figuera,9.0,67.0,64.0,52.0,55.0,66.0
J. Kusukami,9.6,43.0,59.0,60.0,63.0,50.0
Tomás Nuninho,10.4,64.0,62.0,56.0,55.0,59.0
Carlos Henriques,64.6,,,,,
N. Dumitru,10.4,43.0,56.0,65.0,65.0,49.0
P. Pentke,63.6,,,,,
B. Bellot,65.2,,,,,
S. Gasanov,11.6,65.0,59.0,51.0,52.0,63.0
C. Andriamahitsinoro,8.4,37.0,55.0,58.0,63.0,47.0
F. Nouble,10.4,41.0,52.0,64.0,62.0,44.0
C. Wernitznig,13.4,47.0,58.0,62.0,65.0,53.0
M. Al Bishi,12.6,64.0,40.0,42.0,35.0,57.0
D. Björnquist,11.0,59.0,53.0,49.0,55.0,64.0
F. Kurto,62.8,,,,,
C. Reilly,11.4,65.0,64.0,62.0,61.0,65.0
T. Wendel,11.4,65.0,58.0,53.0,50.0,59.0
I. Chebake,11.0,64.0,53.0,53.0,56.0,64.0
A. Esposito,9.8,64.0,43.0,38.0,33.0,54.0
F. Lohkemper,12.0,41.0,54.0,64.0,63.0,46.0
S. Clémence,10.0,39.0,57.0,64.0,63.0,43.0
